date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
10/01/2015	07	0	0	0	0.29
10/01/2015	08	0	0	0	3.45
10/01/2015	09	0	0	0	12.10
10/01/2015	10	0	0	0	21.55
10/01/2015	11	0	0	0	14.88
10/01/2015	12	0	0	0	10.77
10/01/2015	13	0	0	0	7.46
10/01/2015	14	0	0	0	1.46
10/01/2015	15	0	0	0	0.00
10/01/2015	16	0	0	0	0.00
10/01/2015	17	0	0	0	0.00
10/01/2015	18	0	0	0	0.00
10/01/2015	19	0	0	0	0.00
10/01/2015	20	0	0	0	0.00
10/01/2015	21	0	0	0	0.00
10/01/2015	22	0	0	0	0.00
10/01/2015	23	0	0	0	0.00
11/01/2015	00	0	0	0	0.00
11/01/2015	01	0	0	0	0.00
11/01/2015	02	0	0	0	0.00
11/01/2015	03	0	0	0	0.00
11/01/2015	04	0	0	0	0.00
11/01/2015	05	0	0	0	0.00
11/01/2015	06	0	0	0	0.00
11/01/2015	07	0	0	0	0.02
11/01/2015	08	0	0	0	1.19
11/01/2015	09	0	0	0	11.30
11/01/2015	10	0	0	0	26.93
11/01/2015	11	0	0	0	57.40
11/01/2015	12	0	0	0	37.99
11/01/2015	13	0	0	0	23.25
11/01/2015	14	0	0	0	9.87
11/01/2015	15	0	0	0	1.11
11/01/2015	16	0	0	0	0.03
11/01/2015	17	0	0	0	0.00
11/01/2015	18	0	0	0	0.00
11/01/2015	19	0	0	0	0.00
11/01/2015	20	0	0	0	0.00
11/01/2015	21	0	0	0	0.00
11/01/2015	22	0	0	0	0.00
11/01/2015	23	0	0	0	0.00
12/01/2015	00	0	0	0	0.00
12/01/2015	01	0	0	0	0.00
12/01/2015	02	0	0	0	0.00
12/01/2015	03	0	0	0	0.00
12/01/2015	04	0	0	0	0.00
12/01/2015	05	0	0	0	0.00
12/01/2015	06	0	0	0	0.00
12/01/2015	07	0	0	0	0.39
12/01/2015	08	0	0	0	2.52
12/01/2015	09	0	0	0	9.90
12/01/2015	10	0	0	0	25.54
12/01/2015	11	0	0	0	29.45
12/01/2015	12	0	0	0	31.89
12/01/2015	13	0	0	0	19.85
12/01/2015	14	0	0	0	8.22
12/01/2015	15	0	0	0	1.11
12/01/2015	16	0	0	0	0.20
12/01/2015	17	0	0	0	0.00
12/01/2015	18	0	0	0	0.00
12/01/2015	19	0	0	0	0.00
12/01/2015	20	0	0	0	0.00
12/01/2015	21	0	0	0	0.00
12/01/2015	22	0	0	0	0.00
12/01/2015	23	0	0	0	0.00
13/01/2015	00	0	0	0	0.00
13/01/2015	01	0	0	0	0.00
13/01/2015	02	0	0	0	0.00
13/01/2015	03	0	0	0	0.00
13/01/2015	04	0	0	0	0.00
13/01/2015	05	0	0	0	0.00
13/01/2015	06	0	0	0	0.00
13/01/2015	07	0	0	0	0.02
13/01/2015	08	0	0	0	5.64
13/01/2015	09	0	0	0	36.24
