date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
14/01/2015	22	-18.0	77.0	1003.16	0
14/01/2015	23	-19.0	77.0	1003.14	0
15/01/2015	00	-18.0	77.0	1003.13	0
15/01/2015	01	-18.0	77.0	1003.13	0
15/01/2015	02	-19.0	84.0	1003.12	0
15/01/2015	03	-20.0	77.0	1003.11	0
15/01/2015	04	-20.0	77.0	1002.1	0
15/01/2015	05	-19.0	77.0	1001.09	0
15/01/2015	06	-18.0	77.0	1001.08	0
15/01/2015	07	-16.0	85.0	1001.08	0
15/01/2015	08	-16.0	78.0	1001.07	40.0
15/01/2015	09	-15.0	78.0	1000.06	390.0
15/01/2015	10	-15.0	85.0	999.059	720.0
15/01/2015	11	-14.0	78.0	997.054	1288.0
15/01/2015	12	-13.0	72.0	995.05	1314.0
15/01/2015	13	-12.0	72.0	993.046	1003.0
15/01/2015	14	-12.0	72.0	992.042	670.0
15/01/2015	15	-11.0	72.0	991.038	560.0
15/01/2015	16	-9.0	79.0	990.035	230.0
15/01/2015	17	-8.0	73.0	989.032	30.0
15/01/2015	18	-8.0	79.0	988.03	0
15/01/2015	19	-8.0	79.0	987.027	0
15/01/2015	20	-7.0	73.0	986.025	0
15/01/2015	21	-7.0	73.0	985.023	0
15/01/2015	22	-5.0	63.0	984.021	0
15/01/2015	23	-5.0	63.0	982.019	0
16/01/2015	00	-5.0	68.0	981.018	0
16/01/2015	01	-5.0	86.0	981.018	0
16/01/2015	02	-4.0	86.0	979.85	0
16/01/2015	03	-4.0	93.0	978.696	0
16/01/2015	04	-3.0	86.0	978.555	0
16/01/2015	05	-3.0	86.0	978.425	0
16/01/2015	06	-3.0	86.0	978.306	0
16/01/2015	07	-4.0	86.0	978.198	0
16/01/2015	08	-5.0	68.0	981.098	20.0
16/01/2015	09	-8.0	57.0	983.006	200.0
16/01/2015	10	-11.0	61.0	983.923	480.0
16/01/2015	11	-12.0	61.0	984.846	1153.0
16/01/2015	12	-12.0	56.0	985.775	1550.0
16/01/2015	13	-12.0	51.0	985.711	1577.0
16/01/2015	14	-12.0	56.0	986.652	1386.0
16/01/2015	15	-12.0	51.0	988.597	1021.0
16/01/2015	16	-13.0	51.0	989.548	170.0
16/01/2015	17	-13.0	51.0	990.502	30.0
16/01/2015	18	-14.0	51.0	991.46	0
16/01/2015	19	-15.0	51.0	993.422	0
16/01/2015	20	-16.0	50.0	995.387	0
16/01/2015	21	-17.0	50.0	996.355	0
16/01/2015	22	-18.0	50.0	996.325	0
16/01/2015	23	-19.0	54.0	997.298	0
17/01/2015	00	-20.0	54.0	998.273	0
17/01/2015	01	-20.0	54.0	998.273	0
17/01/2015	02	-21.0	53.0	1000.33	0
17/01/2015	03	-21.0	53.0	1001.39	0
17/01/2015	04	-22.0	58.0	1002.44	0
17/01/2015	05	-23.0	64.0	1003.49	0
17/01/2015	06	-23.0	64.0	1004.53	0
17/01/2015	07	-23.0	64.0	1005.57	0
17/01/2015	08	-23.0	58.0	1006.6	20.0
17/01/2015	09	-22.0	58.0	1006.64	360.0
17/01/2015	10	-21.0	53.0	1007.67	950.0
17/01/2015	11	-20.0	49.0	1006.7	1338.0
17/01/2015	12	-20.0	54.0	1006.72	1420.0
17/01/2015	13	-18.0	45.0	1005.74	1037.0
17/01/2015	14	-18.0	54.0	1004.77	1114.0
17/01/2015	15	-17.0	55.0	1004.78	470.0
17/01/2015	16	-17.0	60.0	1004.8	110.0
17/01/2015	17	-16.0	60.0	1003.82	20.0
17/01/2015	18	-16.0	60.0	1002.83	0
17/01/2015	19	-16.0	60.0	1001.85	0
17/01/2015	20	-16.0	65.0	1000.86	0
17/01/2015	21	-15.0	60.0	998.872	0
17/01/2015	22	-16.0	65.0	996.883	0
17/01/2015	23	-15.0	66.0	994.893	0
18/01/2015	00	-15.0	66.0	992.902	0
18/01/2015	01	-15.0	71.0	992.902	0
18/01/2015	02	-15.0	71.0	990.91	0
18/01/2015	03	-14.0	72.0	989.918	0
18/01/2015	04	-14.0	72.0	989.925	0
18/01/2015	05	-14.0	72.0	988.931	0
18/01/2015	06	-14.0	72.0	988.937	0
18/01/2015	07	-9.0	73.0	987.942	0
18/01/2015	08	-4.0	63.0	988.947	20.0
18/01/2015	09	-3.0	63.0	988.951	180.0
18/01/2015	10	-2.0	64.0	988.955	410.0
18/01/2015	11	-0.5	64.0	988.959	790.0
18/01/2015	12	1.0	64.0	987.962	900.0
18/01/2015	13	2.0	64.0	987.965	940.0
18/01/2015	14	3.0	65.0	986.968	650.0
18/01/2015	15	2.0	69.0	988.971	360.0
18/01/2015	16	2.0	69.0	988.973	140.0
18/01/2015	17	2.0	75.0	988.976	20.0
18/01/2015	18	-2.0	80.0	989.978	0
18/01/2015	19	-2.0	80.0	988.98	0
18/01/2015	20	-2.0	80.0	988.981	0
18/01/2015	21	-2.0	93.0	988.983	0
18/01/2015	22	-1.0	93.0	988.984	0
18/01/2015	23	-1.0	93.0	987.986	0
19/01/2015	00	-1.0	93.0	986.987	0
19/01/2015	01	-2.0	93.0	986.987	0
19/01/2015	02	-2.0	93.0	985.905	0
19/01/2015	03	-2.0	93.0	983.829	0
19/01/2015	04	-1.0	100.0	981.76	0
19/01/2015	05	-0.333333	100.0	980.697	0
19/01/2015	06	0.333333	100.0	979.639	0
19/01/2015	07	1.0	86.0	978.586	0
19/01/2015	08	1	100.0	977.537	20.0
19/01/2015	09	1	93.0	977.492	150.0
19/01/2015	10	1.0	86.0	977.451	580.0
19/01/2015	11	1.0	86.0	977.414	940.0
19/01/2015	12	0	86.0	977.379	990.0
19/01/2015	13	-1.0	80.0	978.348	780.0
19/01/2015	14	-2.0	80.0	978.319	550.0
19/01/2015	15	-3.0	80.0	979.292	480.0
19/01/2015	16	-4.0	74.0	980.268	190.0
19/01/2015	17	-5.0	79.0	981.246	30.0
19/01/2015	18	-6.0	79.0	981.225	0
19/01/2015	19	-7.0	73.0	982.206	0
19/01/2015	20	-9.0	73.0	982.189	0
19/01/2015	21	-9.0	67.0	982.173	0
19/01/2015	22	-10.0	67.0	982.159	0
19/01/2015	23	-11.0	67.0	982.146	0
20/01/2015	00	-13.0	72.0	982.134	0
20/01/2015	01	-14.0	72.0	982.134	0
20/01/2015	02	-14.0	66.0	982.123	0
20/01/2015	03	-15.0	66.0	982.113	0
20/01/2015	04	-16.0	71.0	982.103	0
20/01/2015	05	-17.0	71.0	983.095	0
20/01/2015	06	-18.0	77.0	983.087	0
20/01/2015	07	-18.0	71.0	983.08	0
20/01/2015	08	-18.0	71.0	984.073	20.0
20/01/2015	09	-18.0	65.0	984.067	380.0
20/01/2015	10	-17.0	65.0	984.061	970.0
20/01/2015	11	-16.0	60.0	984.056	1360.0
20/01/2015	12	-16.0	60.0	984.051	1575.0
20/01/2015	13	-15.0	60.0	985.047	1594.0
20/01/2015	14	-14.0	55.0	985.043	1397.0
20/01/2015	15	-14.0	55.0	986.04	1002.0
20/01/2015	16	-15.0	60.0	987.036	210.0
